Env [ 7. 24.],Env [ 7. 34.],Env [ 7. 44.],Env [12. 24.],Env [12. 34.],Env [12. 44.],Env [17. 24.],Env [17. 34.],Env [17. 44.]
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.55
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.60
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.54
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.48
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.45,0.48
0.50,0.50,0.50,0.50,0.45,0.50,0.50,0.45,0.48
0.55,0.50,0.50,0.50,0.45,0.50,0.50,0.45,0.48
0.50,0.50,0.50,0.50,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.50,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.55,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.60,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.64,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.67,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.70,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.63,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.57,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.61,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.65,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.69,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.72,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.75,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.77,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.79,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.72,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.64,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.68,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.71,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.74,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.67,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.70,0.45,0.50,0.50,0.45,0.48
0.50,0.45,0.50,0.63,0.45,0.50,0.50,0.45,0.48
