Env [ 7. 24.],Env [ 7. 34.],Env [ 7. 44.],Env [12. 24.],Env [12. 34.],Env [12. 44.],Env [17. 24.],Env [17. 34.],Env [17. 44.]
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.55
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.60
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.64
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.57
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.61
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.65
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.59
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.53
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.48
0.50,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.48
0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.55,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.60,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.64,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.67,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.70,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.63,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.67,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.70,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.73,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.66,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.69,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.62,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.66,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.60,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.64,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.57,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.56,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.61,0.48
